SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 28-Mar-2019, 37.05, 37.50, 38.80, 37.00, 38.70, 38.50, 38.07, 38303, 14.58, 398, 28771, 75.11
21STCENMGM, EQ, 28-Mar-2019, 18.55, 18.20, 18.90, 18.20, 18.90, 18.90, 18.73, 2476, 0.46, 15, 2175, 87.84
3IINFOTECH, EQ, 28-Mar-2019, 3.75, 3.80, 3.90, 3.70, 3.85, 3.80, 3.79, 2391169, 90.68, 692, 1372511, 57.40
3MINDIA, EQ, 28-Mar-2019, 23777.85, 23945.00, 24150.00, 23662.00, 23978.50, 24035.65, 23929.53, 579, 138.55, 352, 275, 47.50
5PAISA, EQ, 28-Mar-2019, 228.75, 228.80, 239.95, 228.00, 239.00, 237.30, 235.22, 4120, 9.69, 232, 2605, 63.23
63MOONS, EQ, 28-Mar-2019, 78.05, 78.45, 80.70, 78.15, 79.30, 79.55, 79.72, 182918, 145.82, 2469, 58823, 32.16
8KMILES, EQ, 28-Mar-2019, 89.40, 90.00, 93.85, 89.50, 93.85, 93.85, 92.43, 183722, 169.81, 2367, 121942, 66.37
A2ZINFRA, BE, 28-Mar-2019, 17.10, 17.10, 17.70, 17.10, 17.50, 17.45, 17.40, 150988, 26.27, 221, -, -
AARON, SM, 28-Mar-2019, 46.90, 43.00, 46.95, 43.00, 46.95, 46.95, 44.98, 9000, 4.05, 3, 6000, 66.67
AARTIDRUGS, EQ, 28-Mar-2019, 662.30, 650.00, 655.00, 646.55, 647.05, 648.15, 650.47, 19709, 128.20, 1382, 8957, 45.45
AARTIIND, EQ, 28-Mar-2019, 1590.50, 1585.10, 1585.10, 1537.55, 1558.00, 1555.25, 1553.66, 118734, 1844.72, 8123, 65811, 55.43
AARVEEDEN, EQ, 28-Mar-2019, 23.10, 23.05, 25.35, 22.25, 23.80, 23.85, 24.38, 40748, 9.93, 382, 17637, 43.28
AARVI, SM, 28-Mar-2019, 42.75, 41.00, 41.00, 40.65, 41.00, 41.00, 40.84, 8000, 3.27, 4, 6000, 75.00
AAVAS, EQ, 28-Mar-2019, 1143.40, 1144.00, 1159.85, 1075.40, 1101.00, 1096.80, 1138.76, 46575, 530.38, 1950, 36973, 79.38
ABAN, BE, 28-Mar-2019, 57.60, 58.90, 59.45, 57.25, 57.75, 58.00, 58.04, 71729, 41.63, 591, -, -
ABB, EQ, 28-Mar-2019, 1326.45, 1321.10, 1331.70, 1308.45, 1312.30, 1314.90, 1322.10, 154138, 2037.86, 4483, 126310, 81.95
ABBOTINDIA, EQ, 28-Mar-2019, 7227.35, 7259.95, 7331.00, 7242.10, 7265.00, 7274.90, 7265.97, 26845, 1950.55, 1161, 25863, 96.34
ABCAPITAL, EQ, 28-Mar-2019, 100.90, 101.50, 101.80, 97.60, 98.20, 98.55, 99.52, 5154877, 5130.30, 27576, 3389956, 65.76
