,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,38.0,38.55,37.75,37.9,37.75,38.45,27367,1046327.75,26-APR-2019,385,INE144J01027
1,21STCENMGM,EQ,23.1,23.1,23.1,23.1,23.1,23.55,108,2494.8,26-APR-2019,3,INE253B01015
2,3IINFOTECH,EQ,4.15,4.15,3.9,3.95,4.0,4.1,2342075,9353978.0,26-APR-2019,1532,INE748C01020
3,3MINDIA,EQ,24500.0,24500.0,23335.0,23510.9,23465.0,24871.0,6812,161979725.45,26-APR-2019,2312,INE470A01017
4,3PLAND,BE,11.3,11.85,11.25,11.25,11.25,11.3,1091,12406.25,26-APR-2019,11,INE105C01023
5,5PAISA,EQ,306.95,310.1,299.0,307.45,308.0,303.4,12327,3768424.0,26-APR-2019,475,INE618L01018
6,63MOONS,EQ,115.0,117.4,111.0,113.95,114.15,113.85,450157,51392646.85,26-APR-2019,5659,INE111B01023
7,8KMILES,EQ,115.0,120.95,115.0,120.95,120.95,115.2,334697,40208002.25,26-APR-2019,3256,INE650K01021
8,A2ZINFRA,EQ,17.55,18.45,17.55,17.85,17.75,17.7,697894,12555689.85,26-APR-2019,647,INE619I01012
9,AARON,SM,47.2,47.2,47.2,47.2,47.2,46.5,3000,141600.0,26-APR-2019,1,INE721Z01010
10,AARTIDRUGS,EQ,621.6,627.95,621.6,625.3,625.9,624.05,7888,4932990.6,26-APR-2019,317,INE767A01016
11,AARTIIND,EQ,1600.0,1648.0,1575.5,1637.25,1636.0,1587.8,53662,86924612.1,26-APR-2019,3862,INE769A01020
12,AARVEEDEN,EQ,23.45,23.55,22.7,23.0,22.9,23.65,6213,143490.65,26-APR-2019,58,INE273D01019
13,AAVAS,EQ,1182.0,1248.45,1154.0,1166.1,1160.0,1169.3,69980,82297932.1,26-APR-2019,4598,INE216P01012
14,ABAN,BE,58.7,58.7,56.0,56.4,56.0,57.9,41007,2337641.85,26-APR-2019,453,INE421A01028
15,ABB,EQ,1494.0,1494.0,1471.55,1481.1,1494.0,1494.4,73873,109565926.6,26-APR-2019,3487,INE117A01022
16,ABBOTINDIA,EQ,7694.0,7717.0,7350.0,7467.5,7450.05,7640.25,4937,37041061.2,26-APR-2019,1158,INE358A01014
17,ABCAPITAL,EQ,98.35,99.6,97.95,99.2,99.6,98.25,1632867,161588113.7,26-APR-2019,7347,INE674K01013
18,ABFRL,EQ,217.0,218.5,206.85,210.3,209.5,216.5,547222,116690791.95,26-APR-2019,16898,INE647O01011
19,ABGSHIP,BZ,1.6,1.6,1.5,1.5,1.55,1.55,11992,18144.2,26-APR-2019,36,INE067H01016
20,ABSLNN50ET,EQ,313.0,313.0,308.0,311.35,311.35,313.0,6,1868.05,26-APR-2019,5,INF209KB1B87
21,ACC,EQ,1628.0,1641.4,1623.35,1635.35,1636.7,1623.0,621829,1015286615.9,26-APR-2019,18338,INE012A01025
22,ACCELYA,EQ,926.5,930.0,925.0,928.55,926.5,927.2,2884,2676270.9,26-APR-2019,252,INE793A01012
23,ACE,EQ,101.5,102.5,101.0,101.15,101.25,101.5,109063,11070602.8,26-APR-2019,2048,INE731H01025
24,ADANIENT,EQ,135.0,135.65,130.25,131.4,131.0,134.75,4350584,574537235.45,26-APR-2019,45517,INE423A01024
25,ADANIGAS,EQ,147.1,147.8,142.3,143.25,143.0,146.15,293719,42392808.45,26-APR-2019,4216,INE399L01023
26,ADANIGREEN,EQ,43.55,44.0,42.5,43.0,42.95,43.8,648948,28067312.9,26-APR-2019,2601,INE364U01010
27,ADANIPORTS,EQ,387.3,393.7,385.65,391.75,391.0,389.25,1681376,657430465.1,26-APR-2019,25982,INE742F01042
28,ADANIPOWER,EQ,50.8,51.35,47.8,48.4,48.45,50.7,15899088,781466125.8,26-APR-2019,26962,INE814H01011
29,ADANITRANS,EQ,222.3,222.3,216.3,218.2,218.0,220.6,35739,7822764.9,26-APR-2019,693,INE931S01010
30,ADFFOODS,EQ,249.95,249.95,243.1,245.15,245.0,244.0,29686,7273419.95,26-APR-2019,693,INE982B01019
31,ADHUNIK,BE,1.95,2.15,1.95,2.15,2.15,2.05,22342,47669.1,26-APR-2019,43,INE400H01019
32,ADHUNIKIND,EQ,66.8,67.0,65.95,66.65,67.0,65.25,18450,1226243.95,26-APR-2019,162,INE452L01012
33,ADLABS,EQ,8.85,9.1,8.8,8.8,8.85,8.85,113113,1007221.0,26-APR-2019,237,INE172N01012
34,ADORWELD,EQ,334.45,337.0,332.6,334.15,334.0,333.05,3986,1333703.95,26-APR-2019,124,INE045A01017
35,ADROITINFO,BE,14.4,15.5,14.35,15.5,15.5,15.1,2291,32923.85,26-APR-2019,14,INE737B01033
36,ADSL,EQ,15.95,15.95,14.8,15.05,14.85,15.55,40333,619389.0,26-APR-2019,227,INE102I01027
37,ADVANIHOTR,EQ,68.1,68.1,64.4,65.6,65.0,66.95,2697,178382.95,26-APR-2019,86,INE199C01026
38,ADVENZYMES,EQ,191.25,192.65,190.6,191.2,191.2,191.25,105855,20243113.6,26-APR-2019,967,INE837H01020
39,AEGISCHEM,EQ,195.1,199.7,194.3,198.45,198.6,195.1,69157,13603127.25,26-APR-2019,1666,INE208C01025
40,AGARIND,EQ,183.35,189.9,177.0,178.5,177.0,179.7,2721,493555.55,26-APR-2019,73,INE204E01012
41,AGCNET,EQ,107.8,119.45,107.8,110.05,109.0,112.05,3758,420190.7,26-APR-2019,90,INE676A01019
42,AGLSL,EQ,58.25,58.8,57.5,58.7,58.7,58.15,4041,237054.35,26-APR-2019,78,INE517U01013
43,AGRITECH,EQ,63.35,66.4,62.0,62.75,62.85,63.85,15542,980863.1,26-APR-2019,359,INE449G01018
44,AGROPHOS,BE,66.0,69.9,66.0,69.9,69.9,67.6,141703,9901533.3,26-APR-2019,12,INE740V01019
45,AHLADA,SM,84.0,86.0,82.0,82.5,82.0,83.0,4000,335000.0,26-APR-2019,4,INE00PV01013
46,AHLEAST,EQ,237.0,237.0,236.5,236.5,236.5,236.5,249,58963.8,26-APR-2019,8,INE926K01017
47,AHLUCONT,EQ,321.4,326.5,319.9,324.55,326.0,320.95,3763,1215059.7,26-APR-2019,123,INE758C01029
48,AHLWEST,EQ,372.0,372.0,356.05,362.5,371.45,372.0,323,117819.75,26-APR-2019,21,INE915K01010
49,AIAENG,EQ,1795.15,1825.1,1770.0,1803.2,1800.0,1795.1,7962,14330773.2,26-APR-2019,1344,INE212H01026
50,AIFL,BE,10.8,11.2,10.3,10.8,10.85,10.75,26169,277758.3,26-APR-2019,99,INE428O01016
51,AIONJSW,EQ,25.4,25.55,24.25,24.55,24.5,25.1,33604,838936.75,26-APR-2019,245,INE743C01021
52,AIRAN,SM,38.5,38.85,38.5,38.85,38.85,38.5,10000,386750.0,26-APR-2019,2,INE645W01026
53,AJANTPHARM,EQ,1025.2,1037.3,1006.3,1026.65,1032.7,1029.9,437260,445889159.55,26-APR-2019,11069,INE031B01049
54,AJMERA,EQ,174.35,175.65,171.15,171.9,171.7,173.2,17573,3043578.1,26-APR-2019,743,INE298G01027
55,AKG,SM,35.5,35.5,34.0,34.0,34.0,35.0,8000,278000.0,26-APR-2019,2,INE00Y801016
56,AKSHARCHEM,EQ,333.0,340.0,328.0,337.4,334.05,329.3,1866,624704.75,26-APR-2019,111,INE542B01011
57,AKSHOPTFBR,EQ,17.1,17.15,16.95,17.0,17.1,17.1,301323,5131078.5,26-APR-2019,551,INE523B01011
58,AKZOINDIA,EQ,1739.95,1746.0,1702.05,1710.55,1702.05,1735.35,15379,26476784.7,26-APR-2019,1292,INE133A01011
59,ALANKIT,EQ,38.2,38.9,37.1,37.35,37.35,37.95,625769,23650675.6,26-APR-2019,3293,INE914E01040
60,ALBERTDAVD,EQ,388.8,394.0,386.0,389.55,387.0,388.6,2634,1026740.85,26-APR-2019,107,INE155C01010
61,ALBK,EQ,49.5,50.05,48.7,49.15,48.95,49.65,4826714,238052826.5,26-APR-2019,10029,INE428A01015
62,ALCHEM,BE,1.95,1.95,1.85,1.85,1.95,1.9,2326,4328.25,26-APR-2019,10,INE964B01033
63,ALEMBICLTD,EQ,42.0,43.5,41.95,42.7,42.85,42.25,246164,10519964.65,26-APR-2019,2020,INE426A01027
64,ALICON,EQ,630.2,642.5,630.0,637.7,634.2,640.25,1662,1060524.95,26-APR-2019,277,INE062D01024
65,ALKALI,EQ,43.6,43.9,41.4,42.1,42.2,43.85,2988,127385.55,26-APR-2019,110,INE773I01017
66,ALKEM,EQ,1704.85,1729.0,1695.1,1710.1,1703.0,1703.45,34599,59301622.65,26-APR-2019,3451,INE540L01014
67,ALKYLAMINE,EQ,891.0,891.0,825.0,836.0,831.5,872.8,5854,4920086.15,26-APR-2019,574,INE150B01021
68,ALLCARGO,EQ,111.5,114.4,111.45,114.15,114.1,111.3,100373,11379921.1,26-APR-2019,2021,INE418H01029
69,ALLSEC,BE,315.0,315.0,310.0,311.15,311.15,312.1,1749,544668.35,26-APR-2019,25,INE835G01018
70,ALMONDZ,EQ,21.3,21.65,21.0,21.6,21.6,21.7,837,17780.45,26-APR-2019,24,INE326B01027
71,ALOKTEXT,BE,4.2,4.25,4.0,4.0,4.0,4.2,4147810,16742695.25,26-APR-2019,1959,INE270A01011
72,ALPA,EQ,25.05,25.45,25.0,25.0,25.2,25.15,7587,189993.05,26-APR-2019,67,INE385I01010
73,ALPHAGEO,EQ,470.65,473.0,465.2,467.3,465.2,470.65,694,325571.25,26-APR-2019,153,INE137C01018
74,ALPSINDUS,BE,1.65,1.7,1.65,1.65,1.65,1.7,1111,1838.15,26-APR-2019,3,INE093B01015
75,AMARAJABAT,EQ,670.9,675.0,664.05,666.55,670.0,668.95,259356,173815592.35,26-APR-2019,8476,INE885A01032
76,AMBER,EQ,818.0,824.55,802.2,807.9,805.5,817.85,5821,4731585.9,26-APR-2019,584,INE371P01015
77,AMBIKCO,EQ,1127.9,1128.05,1118.0,1126.75,1128.0,1123.15,627,705207.35,26-APR-2019,71,INE540G01014
78,AMBUJACEM,EQ,223.0,226.55,221.75,226.0,226.0,220.55,2114460,474859774.25,26-APR-2019,21401,INE079A01024
79,AMDIND,EQ,21.15,21.6,20.3,20.55,21.3,20.7,5674,118168.25,26-APR-2019,37,INE005I01014
80,AMJLAND,EQ,20.0,20.7,19.7,20.4,20.5,19.7,5864,117217.15,26-APR-2019,40,INE606A01024
81,AMJUMBO,SM,50.0,50.0,50.0,50.0,50.0,49.6,2000,100000.0,26-APR-2019,1,INE749Y01014
82,AMRUTANJAN,EQ,304.8,311.85,300.85,307.95,308.1,301.0,25859,7929082.55,26-APR-2019,1020,INE098F01031
83,ANANTRAJ,EQ,31.55,31.8,31.35,31.4,31.5,31.5,153284,4833633.25,26-APR-2019,499,INE242C01024
84,ANDHRABANK,EQ,27.6,27.7,27.3,27.35,27.3,27.35,450109,12368392.3,26-APR-2019,1512,INE434A01013
85,ANDHRACEMT,BE,4.5,4.7,4.45,4.6,4.6,4.6,33963,155289.35,26-APR-2019,71,INE666E01012
86,ANDHRSUGAR,EQ,356.25,357.7,349.4,352.2,351.05,354.2,8069,2842074.65,26-APR-2019,403,INE715B01013
87,ANGIND,BZ,0.9,0.9,0.9,0.9,0.9,0.95,4999,4499.1,26-APR-2019,2,INE017D01010
88,ANIKINDS,EQ,14.7,14.8,14.2,14.65,14.7,14.9,6872,99208.1,26-APR-2019,57,INE087B01017
